pd420 ryang69 mishra03
12498.06588 -1.0 1166.13443 1454.55872
12502.06598 -1.0 1170.37457 1460.31027
12506.06609 -1.0 1174.62206 1466.0723
12510.06619 -1.0 1178.87689 1471.84479
12514.0663 -1.0 1183.13907 1477.62774
12518.0664 -1.0 1187.40858 1483.42116
12522.06651 -1.0 1191.68543 1489.22503
12526.06662 -1.0 1195.96961 1495.03935
12530.06672 -1.0 1200.26112 1500.86412
12534.06683 -1.0 1204.55996 1506.69934
12538.06693 -1.0 1208.86612 1512.54499
12542.06704 -1.0 1213.1796 1518.40108
12546.06714 -1.0 1217.50041 1524.2676
12550.06725 -1.0 1221.82853 1530.14454
12554.06736 -1.0 1226.16396 1536.03191
12558.06746 -1.0 1230.5067 1541.9297
12562.06757 -1.0 1234.85675 1547.8379
12566.06767 -1.0 1239.2141 1553.75651
12570.06778 -1.0 1243.57875 1559.68553
12574.06788 -1.0 1247.9507 1565.62496
12578.06799 -1.0 1252.32995 1571.57478
12582.0681 -1.0 1256.71649 1577.53499
12586.0682 -1.0 1261.11032 1583.5056
12590.06831 -1.0 1265.51144 1589.48659
12594.06841 -1.0 1269.91984 1595.47796
12598.06852 -1.0 1274.33552 1601.47972
12602.06862 -1.0 1278.75848 1607.49184
12606.06873 -1.0 1283.18872 1613.51434
